id,code,name,region
52134,52004416,镇江市第一人民医院,江苏
52135,52009354,诸暨市中心医院（诸暨市中心医院医共体、诸暨市暨阳街道社区卫生服务中心）,浙江
52136,52004560,中国人民武装警察部队上海市总队医院,上海
52137,52004454,北京医院,北京
52138,52004523,延安大学附属医院,陕西
52139,52004526,航空总医院,北京
52140,52004534,中国人民解放军第二六零医院,河北
52141,52009458,张掖市人民医院,甘肃
52142,52009345,北京华信医院(清华大学第一附属医院),北京
52143,52009459,青海红十字医院,青海
52144,52004420,复旦大学附属中山医院,上海
52145,52004521,洛阳东方医院,河南
52146,52004461,民航总医院,北京
52147,52004457,北京市仁和医院,北京
52148,52004481,新疆医科大学第二附属医院,新疆
52149,52004517,济宁市第一人民医院,山东
52150,52004528,遵化市人民医院,河北
52151,52004507,大同市第三人民医院,山西
52152,52004508,太原市第二人民医院,山西
52153,52004525,峰峰集团有限公司第二医院,河北
52154,52004455,北京怀柔医院,北京
52155,52004559,上海市静安区市北医院,上海
52156,52004402,上海市宝山区吴淞中心医院,上海
52157,52004413,余姚市人民医院,浙江
52158,52004501,天津市第一中心医院,天津
52159,52004366,长宁区北新泾街道社区卫生服务中心,上海
52160,52004369,上海交通大学医学院附属上海儿童医学中心,上海
52161,52004380,上海市第七人民医院,上海
52162,52004407,徐汇区中心医院,上海
52163,52004483,开封市中心医院,河南
52164,52004478,哈尔滨红十字中心医院,黑龙江
52165,52009357,随州市中心医院,湖北
52166,52004539,北京市放射免疫检测中心,北京
52167,52004532,河南科技大学第一附属医院（景华院区）,河南
52168,52004499,天津市胸科医院,天津
52169,52004563,杭州艾迪康医学检验中心有限公司,浙江
52170,52009368,莒县人民医院（古城院区）,山东
52171,52004378,上海市第五人民医院,上海
52172,52004538,北京大学人民医院,北京
52173,52004375,上海海员医院,上海
52174,52004519,河北中石油中心医院,河北
52175,52004537,北京肿瘤医院,北京
52176,52004442,罗氏诊断产品(上海)有限公司-上海办,上海
52177,52004452,北京大学第三医院,北京
52178,52004449,中国中医科学研究院广安门医院,北京
52179,52009396,江门市新会区人民医院,广东
52180,52004553,深圳市龙岗区第二人民医院,广东
52181,52009371,中国人民解放军西部战区空军医院,四川
52182,52009512,华中科技大学同济医学院附属同济医院,湖北
52183,52009515,喀什兵团农三师医院,新疆
52184,52009428,中国人民解放军总医院第七医学中心,北京
52185,52009517,绍兴市妇幼保健院,浙江
52186,52009534,武汉亚洲心脏病医院,湖北
52187,52009532,福建省福州结核病防治院,福建
52188,52009571,汕头市中心医院,广东
52189,52009569,厦门市中医院,福建
52190,52009514,晋城大医院,山西
52191,52009608,梧州市工人医院,广西
52192,52004506,天津市肿瘤医院,天津
52193,52004512,中国人民解放军空军军医大学第一附属医院,陕西
52194,52004511,新疆维吾尔自治区中医医院,新疆
52195,52009361,什邡市人民医院,四川
52196,52009374,四川省人民医院,四川
52197,52004468,大连市第四人民医院,辽宁
52198,52009426,牡丹江市肿瘤医院,黑龙江
52199,52004558,北京市公安医院,北京
52200,52004561,徐汇区天平街道社区卫生服务中心,上海
52201,52009615,湖州市妇幼保健院,浙江
52202,52009617,河南省肿瘤医院,河南
52203,52009641,湖州市中心医院,浙江
52204,52009565,上海市肺科医院,上海
52205,52009263,嘉兴鸿福电子医疗器械有限公司,浙江
52206,52009460,中国人民解放军第三零五医院,北京
52207,52009518,上海市浦东新区中医医院,上海
52208,52009520,四川大学华西医院,四川
52209,52004466,大连市友谊医院,辽宁
52210,52009451,天津市静海县医院,天津
52211,52009998,吉林省肿瘤医院,吉林
52212,52009425,北京新景安太医院,北京
52213,52009683,广州市胸科医院,广东
52214,52009840,上海交通大学医学院附属瑞金医院卢湾分院,上海
52215,52010132,浙江大学医学院附属邵逸夫医院,浙江
52216,52009661,辽宁省肿瘤医院,辽宁
52217,52009777,唐山市中医医院,河北
52218,52009448,北京燕化医院,北京
52219,52009500,青田县人民医院,浙江
52220,52010017,湖北省中山医院,湖北
52221,52010091,武汉儿童医院,湖北
52222,52009530,湖南省人民医院,湖南
52223,52004557,复旦大学附属华山医院,上海
52224,52009550,东莞市东部中心医院,广东
52225,52004490,兰州大学第二医院,甘肃
52226,52009564,诸暨市人民医院,浙江
52227,52009568,龙游县人民医院,浙江
52228,52009809,新疆维吾尔自治区喀什地区第二人民医院,新疆
